ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
['NC_056928']	Pseudagkistrodon rudis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Colubroidea', 'Colubridae', 'Natricinae', 'Pseudagkistrodon']	        tRNA [16925:16986](-) ['tRNA-Pro']	D-loop [16986:19150](+) None	source [0:19153](+) None	
['NC_057243']	Liolaemus millcayac	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Iguania', 'Iguanidae', 'Liolaeminae', 'Liolaemus']	        tRNA [15251:15319](-) ['tRNA-Pro']	D-loop [15319:16945](+) None	source [0:16945](+) None	
['NC_057239']	Coreoleuciscus aeruginos	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Sarcocheilichthyinae', 'Coreoleuciscus']	        tRNA [15609:15679](-) ['tRNA-Pro']	D-loop [15679:16563](+) None	source [0:16563](+) None	
['NC_057305']	Yasuhikotakia splendida	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Botiidae', 'Yasuhikotakia']	        tRNA [15598:15668](-) ['tRNA-Pro']	D-loop [15668:16695](+) None	source [0:16695](+) None	
['NC_057064']	Phrynocephalus nasatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Iguania', 'Acrodonta', 'Agamidae', 'Agaminae', 'Phrynocephalus']	        tRNA [16002:16067](+) ['tRNA-Thr']	D-loop [16067:16852](+) None	source [0:16852](+) None	
['NC_057210']	Dicraeus orientalis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Diptera', 'Brachycera', 'Muscomorpha', 'Carnoidea', 'Chloropidae', 'Dicraeus']	        rRNA [14187:14971](-) ['12S ribosomal RNA']	D-loop [15196:15616](+) None	source [0:16188](+) None	
['NC_057244']	Liolaemus parthenos	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Iguania', 'Iguanidae', 'Liolaeminae', 'Liolaemus']	        tRNA [15259:15327](-) ['tRNA-Pro']	D-loop [15327:16838](+) None	source [0:16838](+) None	
['NC_057280']	Paragnetina indentata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Perloidea', 'Perlidae', 'Paragnetina']	        rRNA [14106:14936](-) ['12S ribosomal RNA']	misc_feature [14917:15437](+) None	source [0:15885](+) None	
['NC_057436']	Flavoperla hatakeyamae	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Perloidea', 'Perlidae', 'Flavoperla']	        rRNA [14055:14885](-) ['12S ribosomal RNA']	misc_feature [14931:15730](+) None	source [0:15730](+) None	
['NC_057306']	Sesia siningensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Sesioidea', 'Sesiidae', 'Sesiinae', 'Sesiini', 'Sesia']	        rRNA [14246:15019](-) ['12S ribosomal RNA']	D-loop [15023:15408](+) None	source [0:15454](+) None	
['NC_057513']	Nemoura meniscata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Nemouroidea', 'Nemouridae', 'Nemourinae', 'Nemoura']	        rRNA [14067:14856](-) ['12S ribosomal RNA']	misc_feature [14856:15895](+) None	source [0:15895](+) None	
['NC_057512']	Sphaeronemoura elephas	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Nemouroidea', 'Nemouridae', 'Amphinemurinae', 'Sphaeronemoura']	        rRNA [14052:14846](-) ['12S ribosomal RNA']	misc_feature [14846:15846](+) None	source [0:15846](+) None	
['NC_058019']	Oryx dammah	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Hippotraginae', 'Oryx']	        tRNA [15364:15430](-) ['tRNA-Pro']	misc_feature [15430:16519](+) None	source [0:16689](+) None	
['NC_058020']	Cobitis hankugensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cobitidae', 'Cobitinae', 'Cobitis']	        tRNA [15659:15729](-) ['tRNA-Pro']	D-loop [15729:16657](+) None	source [0:16657](+) None	
['NC_057968']	Pomadasys kaakan	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Lutjaniformes', 'Haemulidae', 'Pomadasys']	        tRNA [15733:15806](-) ['tRNA-Pro']	D-loop [15806:16808](+) None	source [0:16808](+) None	
['NC_057981']	Lactoria cornuta	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Tetraodontiformes', 'Ostraciidae', 'Lactoria']	        tRNA [15592:15662](-) ['tRNA-Pro']	D-loop [15662:16495](+) None	source [0:16495](+) None	
['NC_058188']	Salmo caspius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	        tRNA [15594:15664](-) ['tRNA-Pro']	D-loop [15973:16478](+) None	source [0:16677](+) None	
['NC_057976']	Dasyatis pastinaca	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Batoidea', 'Myliobatiformes', 'Dasyatidae', 'Dasyatis']	        tRNA [15662:15731](-) ['tRNA-Pro']	D-loop [15731:17713](+) None	source [0:17713](+) None	
['NC_058016']	Zalophus japonicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Otariidae', 'Zalophus']	        tRNA [15396:15462](-) ['tRNA-Pro']	D-loop [15462:16698](+) None	source [0:16698](+) None	
['NC_058002']	Pareas formosensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Colubroidea', 'Pareatidae', 'Pareas']	        tRNA [16396:16457](-) ['tRNA-Pro']	D-loop [16457:17703](+) None	source [0:17703](+) None	
['NC_057970']	Neotoxoptera formosana	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Sternorrhyncha', 'Aphidomorpha', 'Aphidoidea', 'Aphididae', 'Macrosiphini', 'Neotoxoptera']	        gene [14768:15580](-) None	rRNA [14768:15580](-) ['12S ribosomal RNA']	gene [991:1055](+) None	
['NC_057977']	Dasyatis tortonesei	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Batoidea', 'Myliobatiformes', 'Dasyatidae', 'Dasyatis']	        tRNA [15672:15741](-) ['tRNA-Pro']	D-loop [15741:17630](+) None	source [0:17630](+) None	
['NC_058005']	Triplophysa nasobarbatula	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Nemacheilidae', 'Triplophysa']	        tRNA [15611:15681](-) ['tRNA-Pro']	D-loop [15681:16605](+) None	source [0:16605](+) None	
['NC_058004']	Troglonectes longibarbatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Nemacheilidae', 'Troglonectes']	        tRNA [15586:15656](-) ['tRNA-Pro']	D-loop [15656:16569](+) None	source [0:16569](+) None	
['NC_058003']	Sinocyclocheilus punctatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Cyprininae', 'Sinocyclocheilus']	        tRNA [15584:15654](-) ['tRNA-Pro']	D-loop [15654:16582](+) None	source [0:16582](+) None	
['NC_057973']	Cincticostella fusca	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Palaeoptera', 'Ephemeroptera', 'Pannota', 'Ephemerellidae', 'Cincticostella']	        gene [14325:15135](-) None	rRNA [14325:15135](-) ['12S ribosomal RNA']	gene [485:554](-) None	
['NC_057979']	Corythoxestis sunosei	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Tineoidea', 'Gracillariidae', 'Corythoxestis']	        gene [14776:15511](+) None	misc_feature [14776:15511](+) None	source [0:15511](+) None	
['NC_057972']	Torleya mikhaili	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Palaeoptera', 'Ephemeroptera', 'Pannota', 'Ephemerellidae', 'Torleya']	        gene [14265:15042](-) None	rRNA [14265:15042](-) ['12S ribosomal RNA']	gene [414:483](-) None	
['NC_058009']	Aglossa dimidiata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Pyraloidea', 'Pyralidae', 'Pyralinae', 'Aglossa']	        rRNA [14151:14965](-) ['12S ribosomal RNA']	misc_feature [14965:15225](+) None	source [0:15225](+) None	
['NC_058244']	Ixodes vespertilionis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Acari', 'Parasitiformes', 'Ixodida', 'Ixodoidea', 'Ixodidae', 'Ixodinae', 'Ixodes']	        rRNA [13492:14285](-) ['12S ribosomal RNA']	misc_feature [14285:14559](+) None	source [0:14559](+) None	
['NC_058228']	Anisopteromalus calandrae	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Parasitoida', 'Chalcidoidea', 'Pteromalidae', 'Pteromalinae', 'Anisopteromalus']	        gene [15213:15935](+) None	rRNA [15213:15935](+) ['16S ribosomal RNA']	gene [15213:15935](+) None	
['NC_058255']	Eurycantha calcarata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Phasmatodea', 'Verophasmatodea', 'Anareolatae', 'Phasmatidae', 'Eurycanthinae', 'Eurycantha']	        rRNA [13810:14573](-) ['12S ribosomal RNA']	D-loop [14573:16280](+) None	source [0:16280](+) None	
['NC_058243']	Tubuca arcuata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Eucarida', 'Decapoda', 'Pleocyemata', 'Brachyura', 'Eubrachyura', 'Ocypodoidea', 'Ocypodidae', 'Gelasiminae']	        gene [15662:15727](-) None	tRNA [15662:15727](-) ['tRNA-Tyr']	gene [14296:14363](+) None	
['NC_039765']	Haemaphysalis hystricis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Acari', 'Parasitiformes', 'Ixodida', 'Ixodoidea', 'Ixodidae', 'Haemaphysalinae', 'Haemaphysalis']	        gene [14659:14715](+) None	tRNA [14659:14715](+) ['tRNA-Cys']	gene [14659:14715](+) None	
['NC_058309']	Asymblepharus himalayanus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Scinciformata', 'Scincidae', 'Sphenomorphinae', 'Asymblepharus']	        tRNA [15309:15378](-) ['tRNA-Pro']	D-loop [15378:17304](+) None	source [0:17304](+) None	
['NC_058312']	Haemaphysalis montgomeryi	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Acari', 'Parasitiformes', 'Ixodida', 'Ixodoidea', 'Ixodidae', 'Haemaphysalinae', 'Haemaphysalis']	        rRNA [13667:14376](-) ['small subunit ribosomal RNA']	D-loop [14418:14671](+) None	source [0:14681](+) None	
['NC_058265']	Ctenotrypauchen chinensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Gobiaria', 'Gobiiformes', 'Gobioidei', 'Gobiidae', 'Amblyopinae', 'Ctenotrypauchen']	        tRNA [15589:15659](-) ['tRNA-Pro']	D-loop [15659:16552](+) None	source [0:16552](+) None	
['NC_058264']	Amblyotrypauchen arctocephalus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Gobiaria', 'Gobiiformes', 'Gobioidei', 'Gobiidae', 'Amblyopinae', 'Amblyotrypauchen']	        tRNA [15586:15656](-) ['tRNA-Pro']	D-loop [15656:17133](+) None	source [0:17133](+) None	
['NC_058284']	Paranemachilus genilepis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Nemacheilidae', 'Paranemachilus']	        tRNA [15579:15649](-) ['tRNA-Pro']	D-loop [15649:16562](+) None	source [0:16562](+) None	
['NC_058282']	Yunnanilus jiuchiensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Nemacheilidae', 'Yunnanilus']	        tRNA [15587:15657](-) ['tRNA-Pro']	D-loop [15657:16571](+) None	source [0:16571](+) None	
['NC_058283']	Yunnanilus nigromaculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Nemacheilidae', 'Yunnanilus']	        tRNA [15581:15651](-) ['tRNA-Pro']	D-loop [15651:16594](+) None	source [0:16594](+) None	
['NC_058310']	Hemipenthes hebeiensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Diptera', 'Brachycera', 'Muscomorpha', 'Asiloidea', 'Bombyliidae', 'Anthracinae', 'Exoprosopini', 'Hemipenthes']	        rRNA [13928:14708](-) ['12S ribosomal RNA']	misc_feature [14708:15430](+) None	source [0:15430](+) None	
['NC_058609']	Callerebia polyphemus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Satyrinae', 'Ypthimini', 'Callerebia']	        tRNA [14778:14845](-) ['tRNA-Met']	D-loop [14845:15156](+) None	source [0:15156](+) None	
['NC_057273']	Paralichthys adspersus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Pleuronectiformes', 'Pleuronectoidei', 'Paralichthyidae', 'Paralichthys']	        tRNA [15620:15692](-) ['tRNA-Pro']	misc_feature [15692:17060](+) None	source [0:17060](+) None	
['NC_059713']	Gobiobotia meridionalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Gobioninae', 'Gobiobotia']	        tRNA [15608:15678](-) ['tRNA-Pro']	D-loop [15696:16504](+) None	source [0:16609](+) None	
['NC_059759']	Thelenota ananas	['Eukaryota', 'Metazoa', 'Echinodermata', 'Eleutherozoa', 'Echinozoa', 'Holothuroidea', 'Aspidochirotacea', 'Aspidochirotida', 'Stichopodidae', 'Thelenota']	        gene [15771:15839](-) None	tRNA [15771:15839](-) ['tRNA-Arg']	gene [6589:6659](-) None	
['NC_059772']	Acanthodactylus boskianus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Acanthodactylus']	        tRNA [15301:15367](-) ['tRNA-Pro']	D-loop [15710:17139](+) None	source [0:17143](+) None	
['NC_059773']	Acanthodactylus erythrurus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Acanthodactylus']	        tRNA [15299:15368](-) ['tRNA-Pro']	D-loop [15633:16827](+) None	source [0:16827](+) None	
['NC_059774']	Mesalina olivieri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Mesalina']	        tRNA [15327:15393](-) ['tRNA-Pro']	D-loop [15724:16899](+) None	source [0:16899](+) None	
['NC_059775']	Acanthodactylus aureus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Acanthodactylus']	        tRNA [15321:15388](-) ['tRNA-Pro']	D-loop [15598:17017](+) None	source [0:17021](+) None	
['NC_059776']	Psammodromus algirus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Psammodromus']	        tRNA [15353:15420](-) ['tRNA-Pro']	D-loop [15737:17117](+) None	source [0:17118](+) None	
['NC_059777']	Australolacerta australis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Australolacerta']	        tRNA [15333:15402](-) ['tRNA-Pro']	D-loop [15722:17019](+) None	source [0:17019](+) None	
['NC_059779']	Meroles squamulosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Meroles']	        tRNA [15273:15339](-) ['tRNA-Pro']	D-loop [15667:16860](+) None	source [0:16860](+) None	
['NC_059780']	Algyroides nigropunctatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Algyroides']	        tRNA [15343:15412](-) ['tRNA-Pro']	D-loop [15698:15844](+) None	source [0:15844](+) None	
['NC_059782']	Acanthodactylus schmidti	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Acanthodactylus']	        tRNA [15282:15349](-) ['tRNA-Pro']	D-loop [15600:16943](+) None	source [0:16943](+) None	
['NC_059796']	Streptopelia tranquebarica	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Streptopelia']	        tRNA [15476:15547](-) ['tRNA-Glu']	D-loop [15547:17431](+) None	source [0:17431](+) None	
['NC_059853']	Locustella pleskei	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Sylvioidea', 'Locustellidae', 'Locustella']	        tRNA [16607:16679](-) ['tRNA-Glu']	misc_feature [16679:18083](+) None	source [0:18083](+) None	
['NC_059854']	Numenius madagascariensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Charadriiformes', 'Scolopacidae', 'Numenius']	        tRNA [15505:15577](-) ['tRNA-Glu']	misc_feature [15577:17668](+) None	source [0:17668](+) None	
['NC_059861']	Odorrana grahami	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Anura', 'Neobatrachia', 'Ranoidea', 'Ranidae', 'Odorrana']	        gene [17792:17864](-) None	tRNA [17792:17864](-) ['tRNA-Leu']	gene [2483:3629](-) None	
['NC_059881']	Charadrius mongolus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Charadriiformes', 'Charadriidae', 'Charadrius']	        tRNA [15511:15583](-) ['tRNA-Glu']	D-loop [15583:16885](+) None	source [0:16919](+) None	
['NC_059916']	Grallina cyanoleuca	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Corvoidea', 'Monarchidae', 'Grallina']	        tRNA [15511:15583](-) ['tRNA-Glu']	misc_feature [15583:16933](+) None	source [0:16933](+) None	
['NC_059927']	Salvelinus schmidti	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salvelinus']	        tRNA [15589:15659](-) ['tRNA-Pro']	D-loop [15659:16653](+) None	source [0:16653](+) None	
['NC_059928']	Microtus montebelli	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Cricetidae', 'Arvicolinae', 'Microtus']	        tRNA [15326:15389](-) ['tRNA-Pro']	D-loop [15389:16307](+) None	source [0:16307](+) None	
['NC_059778']	Pedioplanis laticeps	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Pedioplanis']	        tRNA [15309:15376](-) ['tRNA-Pro']	D-loop [15704:17046](+) None	source [0:17046](+) None	
['NC_059931']	Lyssa zampa	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Geometroidea', 'Uraniidae', 'Uraniinae', 'Lyssa']	        rRNA [14103:14878](-) ['12S ribosomal RNA']	misc_feature [14878:15314](+) None	source [0:15314](+) None	
['NC_059860']	Amphinemura wui	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Nemouroidea', 'Nemouridae', 'Amphinemurinae', 'Amphinemura']	        rRNA [14125:14918](-) ['12S ribosomal RNA']	misc_feature [14918:15783](+) None	source [0:15783](+) None	
['NC_059795']	Treron curvirostra	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Treron']	        tRNA [15587:15658](-) ['tRNA-Glu']	D-loop [15658:17540](+) None	source [0:17540](+) None	
['NC_059862']	Telenomus remus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Parasitoida', 'Platygastroidea', 'Scelionidae', 'Telenominae', 'Telenomus']	        tRNA [14846:14912](-) ['tRNA-Val']	misc_feature [14912:16014](+) None	source [0:16014](+) None	
