ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
NC_001453	Strongylocentrotus purpuratus	['Eukaryota', 'Metazoa', 'Echinodermata', 'Eleutherozoa', 'Echinozoa', 'Echinoidea', 'Euechinoidea', 'Echinacea', 'Camarodonta', 'Echinidea', 'Strongylocentrotidae', 'Strongylocentrotus']	        tRNA [1013:1084](+) ['tRNA-Thr']	misc_feature [1084:1205](+) None	repeat_region [1158:1178](+) None
NC_001626	Petromyzon marinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Cyclostomata', 'Hyperoartia', 'Petromyzontiformes', 'Petromyzontidae', 'Petromyzon']	        misc_feature [14851:15367](-) None	misc_feature [15367:15858](+) None	gene [15858:15930](+) None
NC_001804	Latimeria chalumnae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Coelacanthiformes', 'Coelacanthidae', 'Latimeria']	        tRNA [15557:15626](-) ['tRNA-Pro']	D-loop [15626:16407](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_004744	Lepisosteus oculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Holostei', 'Semionotiformes', 'Lepisosteidae', 'Lepisosteus']	        tRNA [15679:15749](-) ['tRNA-Pro']	D-loop [15749:16330](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_006531	Anguilla anguilla	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Anguilliformes', 'Anguillidae', 'Anguilla']	        tRNA [15649:15719](-) ['tRNA-Pro']	D-loop [15719:16683](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_009577	Clupea harengus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Clupei', 'Clupeiformes', 'Clupeoidei', 'Clupeidae', 'Clupea']	        tRNA [15584:15654](-) ['tRNA-Pro']	D-loop [15654:16701](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_003489	Ictalurus punctatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Siluriformes', 'Ictaluridae', 'Ictalurus']	        source [0:16497](+) None	D-loop [0:885](+) None	gene [885:955](+) None
NC_004593	Esox lucius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15553:15623](-) ['tRNA-Pro']	D-loop [15623:16695](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_017838	Oncorhynchus keta	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        tRNA [15585:15655](-) ['tRNA-Pro']	D-loop [15655:16656](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_009263	Oncorhynchus kisutch	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        source [0:16659](+) None	D-loop [0:1002](+) None	gene [1002:1070](+) None
NC_001717	Oncorhynchus mykiss	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        source [0:16642](+) None	D-loop [0:1003](+) None	gene [1003:1071](+) None
NC_008615	Oncorhynchus nerka	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        source [0:16658](+) None	D-loop [0:1004](+) None	gene [1004:1072](+) None
NC_001960	Salmo salar	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	        source [0:16665](+) None	D-loop [0:1006](+) None	gene [1006:1074](+) None
NC_000861	Salvelinus alpinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salvelinus']	        source [0:16659](+) None	D-loop [0:998](+) None	gene [998:1066](+) None
NC_002081	Gadus morhua	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Zeiogadaria', 'Gadariae', 'Gadiformes', 'Gadoidei', 'Gadidae', 'Gadus']	        tRNA [15630:15719](-) ['tRNA-Pro']	misc_feature [15719:16696](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_012312	Fundulus heteroclitus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Fundulidae', 'Fundulus']	        tRNA [15591:15661](-) ['tRNA-Pro']	D-loop [15661:16526](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_011379	Xiphophorus maculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus']	        tRNA [15717:15787](-) ['tRNA-Pro']	D-loop [15787:16646](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_013089	Xiphophorus hellerii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus']	        tRNA [15708:15778](+) ['tRNA-Pro']	D-loop [15778:16635](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_004387	Oryzias latipes	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15571:15641](-) ['tRNA-Pro']	D-loop [15641:16714](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_013663	Oreochromis niloticus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Oreochromini', 'Oreochromis']	        tRNA [15633:15703](-) ['tRNA-Pro']	D-loop [15703:16627](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_007439	Lates calcarifer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Carangaria incertae sedis', 'Centropomidae', 'Lates']	        source [0:16535](+) None	D-loop [0:768](+) None	gene [768:836](+) None
NC_002386	Paralichthys olivaceus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Pleuronectiformes', 'Pleuronectoidei', 'Paralichthyidae', 'Paralichthys']	        tRNA [15619:15690](-) ['tRNA-Pro']	D-loop [15690:17090](+) None	misc_feature [16196:16218](+) None
NC_001573	Xenopus laevis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Anura', 'Pipoidea', 'Pipidae', 'Xenopodinae', 'Xenopus', 'Xenopus']	        source [0:17553](+) None	D-loop [0:2134](+) None	rep_origin [1561:1601](+) None
NC_006839	Xenopus tropicalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Anura', 'Pipoidea', 'Pipidae', 'Xenopodinae', 'Xenopus', 'Silurana']	        tRNA [15499:15566](+) ['tRNA-Pro']	D-loop [15566:17610](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_000886	Chelonia mydas	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Americhelydia', 'Chelonioidea', 'Cheloniidae', 'Chelonia']	        tRNA [15444:15515](-) ['tRNA-Pro']	misc_feature [15515:16497](+) None	repeat_region [16155:16179](+) None
NC_002073	Chrysemys picta	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Emydidae', 'Chrysemys']	        tRNA [15617:15687](-) ['tRNA-Pro']	misc_feature [15687:16866](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_001922	Alligator mississippiensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Crocodylia', 'Alligatoridae', 'Alligatorinae', 'Alligator']	        tRNA [15588:15658](+) ['tRNA-Phe']	misc_feature [15658:16646](+) None	rRNA [0:976](+) ['12S ribosomal RNA']
NC_008143	Crocodylus porosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Crocodylia', 'Longirostres', 'Crocodylidae', 'Crocodylus']	        tRNA [15664:15735](+) ['tRNA-Phe']	D-loop [15735:16916](+) None	rRNA [0:984](+) ['12S ribosomal RNA']
NC_002784	Dromaius novaehollandiae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Palaeognathae', 'Casuariiformes', 'Dromaiidae', 'Dromaius']	        tRNA [15550:15618](-) ['tRNA-Glu']	misc_feature [15618:16711](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_002785	Struthio camelus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Palaeognathae', 'Struthioniformes', 'Struthionidae', 'Struthio']	        tRNA [15493:15561](-) ['tRNA-Glu']	misc_feature [15561:16595](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_009684	Anas platyrhynchos	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Anseriformes', 'Anatidae', 'Anatinae', 'Anas']	        source [0:16604](+) None	D-loop [0:1049](+) None	gene [1049:1119](+) None
NC_012843	Cygnus atratus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Anseriformes', 'Anatidae', 'Anserinae', 'Cygnus']	        tRNA [1824:1892](-) ['tRNA-Glu']	D-loop [1892:3076](+) None	gene [3076:3145](+) None
NC_013978	Columba livia	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Columba']	        tRNA [15501:15572](-) ['tRNA-Glu']	D-loop [15572:17229](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_000878	Falco peregrinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Falconiformes', 'Falconidae', 'Falco']	        tRNA [14859:14928](+) ['tRNA-Thr']	misc_feature [14928:16438](+) None	repeat_region [14967:15171](+) None
NC_015526	Phasianus colchicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Galliformes', 'Phasianidae', 'Phasianinae', 'Phasianus']	        source [0:16692](+) None	D-loop [0:1147](+) None	gene [1147:1214](+) None
NC_000891	Ornithorhynchus anatinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Monotremata', 'Ornithorhynchidae', 'Ornithorhynchus']	        tRNA [15393:15460](-) ['tRNA-Pro']	misc_feature [15460:17019](+) None	tRNA [0:72](+) ['tRNA-Phe']
NC_001821	Dasypus novemcinctus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Xenarthra', 'Cingulata', 'Dasypodidae', 'Dasypus']	        tRNA [15381:15452](-) ['tRNA-Pro']	misc_feature [15452:17056](+) None	tRNA [<0:69](+) ['tRNA-Phe']
NC_002080	Erinaceus europaeus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Eulipotyphla', 'Erinaceidae', 'Erinaceinae', 'Erinaceus']	        tRNA [15392:15459](-) ['tRNA-Pro']	misc_feature [15459:17447](+) None	tRNA [0:66](+) ['tRNA-Phe']
NC_002631	Echinops telfairi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Afrotheria', 'Tenrecidae', 'Tenrecinae', 'Echinops']	        tRNA [15362:15429](-) ['tRNA-Pro']	D-loop [15429:16549](+) None	tRNA [0:65](+) ['tRNA-Phe']
NC_007393	Rousettus aegyptiacus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Megachiroptera', 'Pteropodidae', 'Pteropodinae', 'Rousettus']	        tRNA [15392:15458](-) ['tRNA-Pro']	D-loop [15458:16706](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_012670	Macaca fascicularis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Cercopithecidae', 'Cercopithecinae', 'Macaca']	        source [0:16575](+) None	D-loop join{[16022:16575](+), [0:542](+)} None	gene [542:614](+) None
NC_005943	Macaca mulatta	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Cercopithecidae', 'Cercopithecinae', 'Macaca']	        source [0:16564](+) None	D-loop join{[16014:16564](+), [0:535](+)} None	gene [535:607](+) None
NC_011120	Gorilla gorilla gorilla	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Hominidae', 'Gorilla']	        tRNA [15380:15448](-) ['tRNA-Pro']	D-loop [15448:16412](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_001644	Pan paniscus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Hominidae', 'Pan']	        tRNA [15374:15442](-) ['tRNA-Pro']	D-loop [15442:16563](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_001643	Pan troglodytes	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Hominidae', 'Pan']	        tRNA [15373:15441](-) ['tRNA-Pro']	D-loop [15441:16554](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_002083	Pongo abelii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Hominidae', 'Pongo']	        tRNA [15414:15483](-) ['tRNA-Pro']	misc_feature [15483:16499](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_002008	Canis lupus familiaris	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Canidae', 'Canis']	        tRNA [15391:15457](-) ['tRNA-Pro']	D-loop [15457:16727](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_009492	Ailuropoda melanoleuca	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Ursidae', 'Ailuropoda']	        source [0:16805](+) None	D-loop [0:1354](+) None	gene [1354:1423](+) None
NC_012059	Tursiops truncatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Delphinidae', 'Tursiops']	        tRNA [15404:15471](+) ['tRNA-Pro']	D-loop [15471:16388](+) None	tRNA [0:72](+) ['tRNA-Phe']
NC_002503	Physeter catodon	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter']	        tRNA [15407:15474](-) ['tRNA-Pro']	D-loop [15474:16428](+) None	tRNA [0:72](+) ['tRNA-Phe']
NC_005271	Balaenoptera acutorostrata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Mysticeti', 'Balaenopteridae', 'Balaenoptera']	        tRNA [15415:15482](-) ['tRNA-Pro']	D-loop [15482:16417](+) None	tRNA [0:74](+) ['tRNA-Phe']
NC_000934	Loxodonta africana	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Afrotheria', 'Proboscidea', 'Elephantidae', 'Loxodonta']	        tRNA [15349:15417](-) ['tRNA-Pro']	D-loop [15417:16866](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_001788	Equus asinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Perissodactyla', 'Equidae', 'Equus']	        tRNA [15397:15463](-) ['tRNA-Pro']	misc_feature [15463:16670](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_001640	Equus caballus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Perissodactyla', 'Equidae', 'Equus']	        tRNA [15402:15468](-) ['tRNA-Pro']	misc_feature [15468:16660](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_001808	Ceratotherium simum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Perissodactyla', 'Rhinocerotidae', 'Ceratotherium']	        tRNA [15385:15451](-) ['tRNA-Pro']	misc_feature [15451:16832](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_002078	Orycteropus afer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Afrotheria', 'Tubulidentata', 'Orycteropodidae', 'Orycteropus']	        tRNA [15385:15452](-) ['tRNA-Pro']	D-loop [15452:16816](+) None	tRNA [0:67](+) ['tRNA-Phe']
NC_000845	Sus scrofa	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Suina', 'Suidae', 'Sus']	        source [0:16613](+) None	D-loop [0:1175](+) None	repeat_region [706:836](+) None
NC_015247	Odocoileus virginianus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Cervidae', 'Odocoileinae', 'Odocoileus']	        tRNA [10418:10484](-) ['tRNA-Pro']	D-loop [10488:11532](+) None	gene [11532:11601](+) None
NC_012346	Bison bison	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bison']	        source [0:16319](+) None	D-loop join{[15791:16319](+), [0:360](+)} None	gene [361:428](+) None
NC_006853	Bos taurus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos']	        source [0:16338](+) None	D-loop join{[15791:16338](+), [0:363](+)} None	gene [363:430](+) None
NC_005971	Bos indicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos']	        source [0:16341](+) None	D-loop join{[15794:16341](+), [0:366](+)} None	gene [366:433](+) None
NC_005044	Capra hircus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Caprinae', 'Capra']	        tRNA [15364:15430](-) ['tRNA-Pro']	D-loop [15430:16643](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_001941	Ovis aries	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Caprinae', 'Ovis']	        tRNA [15370:15436](-) ['tRNA-Pro']	misc_feature [15436:16616](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_005358	Ochotona princeps	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Lagomorpha', 'Ochotonidae', 'Ochotona']	        tRNA [15358:15424](-) ['tRNA-Pro']	D-loop [15424:16481](+) None	repeat_region [16247:16481](+) None
NC_001913	Oryctolagus cuniculus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Lagomorpha', 'Leporidae', 'Oryctolagus']	        tRNA [15379:15445](-) ['tRNA-Pro']	D-loop [15445:17245](+) None	repeat_region [16223:16423](+) None
NC_013276	Mesocricetus auratus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Cricetidae', 'Cricetinae', 'Mesocricetus']	        tRNA [15332:15399](-) ['tRNA-Pro']	D-loop [15397:16264](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_012374	Rattus rattus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Rattus']	        tRNA [15339:15407](-) ['tRNA-Pro']	D-loop [15407:16305](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_015112	Heterocephalus glaber	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Hystricomorpha', 'Bathyergidae', 'Heterocephalus']	        tRNA [15359:15425](-) ['tRNA-Pro']	D-loop [15425:16386](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_006299	Monodelphis domestica	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Metatheria', 'Didelphimorphia', 'Didelphidae', 'Monodelphis']	        tRNA [15411:15478](-) ['tRNA-Pro']	D-loop [15478:17079](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_005251	Erpetoichthys calabaricus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Polypteriformes', 'Polypteridae', 'Erpetoichthys']	        tRNA [15535:15605](-) ['tRNA-Pro']	D-loop [15605:16674](+) None	tRNA [0:71](+) ['tRNA-Phe']
